"subj_id","hide_proportion","present","confidence"
"55ac3198fdf99b6de3b68b23","0.1",0,0.963686342592593
"55ac3198fdf99b6de3b68b23","0.1",1,0.951388888888889
"55ac3198fdf99b6de3b68b23","0.35",0,0.81322337962963
"55ac3198fdf99b6de3b68b23","0.35",1,0.850154320987654
"563f734bcbd4c60005dc9442","0.1",0,1
"563f734bcbd4c60005dc9442","0.1",1,1
"563f734bcbd4c60005dc9442","0.35",0,1
"563f734bcbd4c60005dc9442","0.35",1,1
"566feba6b937e400052d33b2","0.1",0,1
"566feba6b937e400052d33b2","0.1",1,0.998095189160326
"566feba6b937e400052d33b2","0.35",0,1
"566feba6b937e400052d33b2","0.35",1,1
"56d684fffc7879000c77d87f","0.1",0,1
"56d684fffc7879000c77d87f","0.1",1,0.955078125
"56d684fffc7879000c77d87f","0.35",0,1
"56d684fffc7879000c77d87f","0.35",1,0.989583333333333
"56f699e876348f000c883bba","0.1",0,0.576909722222222
"56f699e876348f000c883bba","0.1",1,0.768333045352817
"56f699e876348f000c883bba","0.35",0,0.495279947916667
"56f699e876348f000c883bba","0.35",1,0.73046875
"572a04726fe43d000f0491de","0.1",0,0.659615384615385
"572a04726fe43d000f0491de","0.1",1,0.670740740740741
"572a04726fe43d000f0491de","0.35",0,0.618576388888889
"572a04726fe43d000f0491de","0.35",1,0.725231481481481
"577173988445140001a36edb","0.1",0,0.56591796875
"577173988445140001a36edb","0.1",1,0.612467447916667
"577173988445140001a36edb","0.35",0,0.582356770833333
"577173988445140001a36edb","0.35",1,0.497569444444444
"57c957626736cf0001b31f39","0.1",0,0.853922207539283
"57c957626736cf0001b31f39","0.1",1,0.964739642726878
"57c957626736cf0001b31f39","0.35",0,0.87322593211901
"57c957626736cf0001b31f39","0.35",1,0.936456805909547
"57dd186e6598aa0001992616","0.1",0,0.715017361111111
"57dd186e6598aa0001992616","0.1",1,0.842857142857143
"57dd186e6598aa0001992616","0.35",0,0.741296296296296
"57dd186e6598aa0001992616","0.35",1,0.801587301587302
"57fa6c8b07d709000141ad46","0.1",0,0.655740740740741
"57fa6c8b07d709000141ad46","0.1",1,0.745572916666667
"57fa6c8b07d709000141ad46","0.35",0,0.62202380952381
"57fa6c8b07d709000141ad46","0.35",1,0.580456349206349
"58747a3875946e0001ba07cf","0.1",0,0.46328125
"58747a3875946e0001ba07cf","0.1",1,0.654947916666667
"58747a3875946e0001ba07cf","0.35",0,0.527604166666667
"58747a3875946e0001ba07cf","0.35",1,0.655448717948718
"5875778b5c17910001ea4f35","0.1",0,0.782039289055192
"5875778b5c17910001ea4f35","0.1",1,0.91066417212348
"5875778b5c17910001ea4f35","0.35",0,0.777954474586841
"5875778b5c17910001ea4f35","0.35",1,0.868640713823127
"590df20e12802600017e1006","0.1",0,0.563165025585346
"590df20e12802600017e1006","0.1",1,0.567041715993696
"590df20e12802600017e1006","0.35",0,0.591748086645946
"590df20e12802600017e1006","0.35",1,0.701262206294201
"594f5f0b6208900001db0b8f","0.1",0,0.514219576719577
"594f5f0b6208900001db0b8f","0.1",1,0.404040404040404
"594f5f0b6208900001db0b8f","0.35",0,0.483618233618234
"594f5f0b6208900001db0b8f","0.35",1,0.435956790123457
"595f88cc135b5e0001928a9c","0.1",0,0.6787109375
"595f88cc135b5e0001928a9c","0.1",1,0.710286458333333
"595f88cc135b5e0001928a9c","0.35",0,0.64892578125
"595f88cc135b5e0001928a9c","0.35",1,0.777994791666667
"59660b07e549e90001e44daa","0.1",0,0.999652777777778
"59660b07e549e90001e44daa","0.1",1,1
"59660b07e549e90001e44daa","0.35",0,1
"59660b07e549e90001e44daa","0.35",1,0.999145299145299
"596c819efb23780001f8a0df","0.1",0,0.761358024691358
"596c819efb23780001f8a0df","0.1",1,0.8
"596c819efb23780001f8a0df","0.35",0,0.798032407407407
"596c819efb23780001f8a0df","0.35",1,0.743434343434343
"59cb95053306be000195be2e","0.1",0,0.501234567901235
"59cb95053306be000195be2e","0.1",1,0.643084490740741
"59cb95053306be000195be2e","0.35",0,0.509114583333333
"59cb95053306be000195be2e","0.35",1,0.662037037037037
"5a0f47fa38ed430001be8167","0.1",0,0.999131944444444
"5a0f47fa38ed430001be8167","0.1",1,0.99921875
"5a0f47fa38ed430001be8167","0.35",0,0.999045138888889
"5a0f47fa38ed430001be8167","0.35",1,1
"5a11b458ab721b0001ef8884","0.1",0,0.686431623931624
"5a11b458ab721b0001ef8884","0.1",1,0.910108024691358
"5a11b458ab721b0001ef8884","0.35",0,0.659722222222222
"5a11b458ab721b0001ef8884","0.35",1,0.806445868945869
"5a1342b7f2e3460001edbfd2","0.1",0,0.708796296296296
"5a1342b7f2e3460001edbfd2","0.1",1,0.768518518518518
"5a1342b7f2e3460001edbfd2","0.35",0,0.638454861111111
"5a1342b7f2e3460001edbfd2","0.35",1,0.652777777777778
"5a25cb0ab279aa0001b0dc01","0.1",0,0.799305555555556
"5a25cb0ab279aa0001b0dc01","0.1",1,0.784722222222222
"5a25cb0ab279aa0001b0dc01","0.35",0,0.749444444444444
"5a25cb0ab279aa0001b0dc01","0.35",1,0.689646464646465
"5a49695b7a3e3a0001dd5de5","0.1",0,0.453333333333333
"5a49695b7a3e3a0001dd5de5","0.1",1,0.631481481481482
"5a49695b7a3e3a0001dd5de5","0.35",0,0.484222222222222
"5a49695b7a3e3a0001dd5de5","0.35",1,0.632698412698413
"5a5bed3a76d1c60001ab3c4c","0.1",0,0.792673992673993
"5a5bed3a76d1c60001ab3c4c","0.1",1,0.768934240362812
"5a5bed3a76d1c60001ab3c4c","0.35",0,0.697420634920635
"5a5bed3a76d1c60001ab3c4c","0.35",1,0.70249433106576
"5a69257731b87a0001c76293","0.1",0,0.695690883190883
"5a69257731b87a0001c76293","0.1",1,0.679783950617284
"5a69257731b87a0001c76293","0.35",0,0.704475308641975
"5a69257731b87a0001c76293","0.35",1,0.649621212121212
"5a94a3344eecca0001dd3c52","0.1",0,0.833043981481482
"5a94a3344eecca0001dd3c52","0.1",1,0.931172839506173
"5a94a3344eecca0001dd3c52","0.35",0,0.87232905982906
"5a94a3344eecca0001dd3c52","0.35",1,0.934343434343434
"5a972432873cda0001dc9321","0.1",0,0.535851851851852
"5a972432873cda0001dc9321","0.1",1,0.573777777777778
"5a972432873cda0001dc9321","0.35",0,0.456296296296296
"5a972432873cda0001dc9321","0.35",1,0.48
"5a993b151eda410001365a23","0.1",0,0.776666666666667
"5a993b151eda410001365a23","0.1",1,0.871180555555556
"5a993b151eda410001365a23","0.35",0,0.769618055555556
"5a993b151eda410001365a23","0.35",1,0.850925925925926
"5a9a24ccb5e2110001c6c391","0.1",0,0.599747474747475
"5a9a24ccb5e2110001c6c391","0.1",1,0.6921875
"5a9a24ccb5e2110001c6c391","0.35",0,0.572222222222222
"5a9a24ccb5e2110001c6c391","0.35",1,0.719017094017094
"5ab80ed547a9f7000153a3bf","0.1",0,0.991319444444444
"5ab80ed547a9f7000153a3bf","0.1",1,0.954074074074074
"5ab80ed547a9f7000153a3bf","0.35",0,0.550793650793651
"5ab80ed547a9f7000153a3bf","0.35",1,0.883928571428571
"5b017ef1293d310001023bd8","0.1",0,0.8240234375
"5b017ef1293d310001023bd8","0.1",1,0.7545166015625
"5b017ef1293d310001023bd8","0.35",0,0.70697021484375
"5b017ef1293d310001023bd8","0.35",1,0.6197265625
"5b0c96679663ee0001459213","0.1",0,0.541145833333333
"5b0c96679663ee0001459213","0.1",1,0.611032196969697
"5b0c96679663ee0001459213","0.35",0,0.521019345238095
"5b0c96679663ee0001459213","0.35",1,0.587890625
"5b14532ce9270900013c5bf6","0.1",0,0.475983796296296
"5b14532ce9270900013c5bf6","0.1",1,0.64227207977208
"5b14532ce9270900013c5bf6","0.35",0,0.512037037037037
"5b14532ce9270900013c5bf6","0.35",1,0.527777777777778
"5b421b9ac2e3810001763252","0.1",0,0.857291666666667
"5b421b9ac2e3810001763252","0.1",1,0.823958333333333
"5b421b9ac2e3810001763252","0.35",0,0.856119791666667
"5b421b9ac2e3810001763252","0.35",1,0.798611111111111
"5b4d41e13d01bd0001ec46c2","0.1",0,0.855694444444444
"5b4d41e13d01bd0001ec46c2","0.1",1,0.930793650793651
"5b4d41e13d01bd0001ec46c2","0.35",0,0.808
"5b4d41e13d01bd0001ec46c2","0.35",1,0.852888888888889
"5b6b2c3156558d0001678ffc","0.1",0,0.535493827160494
"5b6b2c3156558d0001678ffc","0.1",1,0.578703703703704
"5b6b2c3156558d0001678ffc","0.35",0,0.407941595441595
"5b6b2c3156558d0001678ffc","0.35",1,0.425462962962963
"5b7550cb09105000015131ae","0.1",0,0.524444444444444
"5b7550cb09105000015131ae","0.1",1,0.69537037037037
"5b7550cb09105000015131ae","0.35",0,0.528490028490028
"5b7550cb09105000015131ae","0.35",1,0.653549382716049
"5b894987e79bf50001e1ff95","0.1",0,0.851525958840037
"5b894987e79bf50001e1ff95","0.1",1,0.930074836295603
"5b894987e79bf50001e1ff95","0.35",0,0.840349236046149
"5b894987e79bf50001e1ff95","0.35",1,0.765450576863112
"5bbb5e3f118c0600013c3202","0.1",0,0.466319444444444
"5bbb5e3f118c0600013c3202","0.1",1,0.501851851851852
"5bbb5e3f118c0600013c3202","0.35",0,0.463636363636364
"5bbb5e3f118c0600013c3202","0.35",1,0.630639730639731
"5bc690392885710001a0bb76","0.1",0,0.49537037037037
"5bc690392885710001a0bb76","0.1",1,0.598148148148148
"5bc690392885710001a0bb76","0.35",0,0.507440476190476
"5bc690392885710001a0bb76","0.35",1,0.512108262108262
"5bcedec641f0710001c74dd5","0.1",0,0.710277777777778
"5bcedec641f0710001c74dd5","0.1",1,0.748090277777778
"5bcedec641f0710001c74dd5","0.35",0,0.707592592592593
"5bcedec641f0710001c74dd5","0.35",1,0.75050505050505
"5bd7cde93dac81000124bb7b","0.1",0,0.743076923076923
"5bd7cde93dac81000124bb7b","0.1",1,0.829259259259259
"5bd7cde93dac81000124bb7b","0.35",0,0.650598290598291
"5bd7cde93dac81000124bb7b","0.35",1,0.801111111111111
"5be76e59d153f500019a700c","0.1",0,0.887326388888889
"5be76e59d153f500019a700c","0.1",1,0.902844551282051
"5be76e59d153f500019a700c","0.35",0,0.869791666666667
"5be76e59d153f500019a700c","0.35",1,0.898111979166667
"5be9e07b887ea400012b46e6","0.1",0,0.637673611111111
"5be9e07b887ea400012b46e6","0.1",1,0.662543402777778
"5be9e07b887ea400012b46e6","0.35",0,0.593098958333333
"5be9e07b887ea400012b46e6","0.35",1,0.645123106060606
"5bf192725431290001de4ba3","0.1",0,0.720850178334553
"5bf192725431290001de4ba3","0.1",1,0.674278632601789
"5bf192725431290001de4ba3","0.35",0,0.643512946174776
"5bf192725431290001de4ba3","0.35",1,0.577449578399463
"5c28b31a0091e40001ca5030","0.1",0,0.886310294839282
"5c28b31a0091e40001ca5030","0.1",1,0.932161692394803
"5c28b31a0091e40001ca5030","0.35",0,0.898310279419892
"5c28b31a0091e40001ca5030","0.35",1,0.946992389893156
"5c366fc38821900001b38b67","0.1",0,0.69359375
"5c366fc38821900001b38b67","0.1",1,0.67375
"5c366fc38821900001b38b67","0.35",0,0.649666666666667
"5c366fc38821900001b38b67","0.35",1,0.581538461538462
"5c50efd2cc71f4000125ce0d","0.1",0,0.515335648148148
"5c50efd2cc71f4000125ce0d","0.1",1,0.528356481481482
"5c50efd2cc71f4000125ce0d","0.35",0,0.515252976190476
"5c50efd2cc71f4000125ce0d","0.35",1,0.522964015151515
"5c56025fcb61950001038a76","0.1",0,0.97621576590897
"5c56025fcb61950001038a76","0.1",1,0.979922139718103
"5c56025fcb61950001038a76","0.35",0,0.979633768295711
"5c56025fcb61950001038a76","0.35",1,0.977311777571837
"5c64561ab84cf50001b59f09","0.1",0,0.862731481481481
"5c64561ab84cf50001b59f09","0.1",1,0.810069444444444
"5c64561ab84cf50001b59f09","0.35",0,0.781828703703704
"5c64561ab84cf50001b59f09","0.35",1,0.750154320987654
"5c75c7c92c662600014eb328","0.1",0,0.663611111111111
"5c75c7c92c662600014eb328","0.1",1,0.757592592592593
"5c75c7c92c662600014eb328","0.35",0,0.705740740740741
"5c75c7c92c662600014eb328","0.35",1,0.704960317460318
"5c85883136f2450001c86ba9","0.1",0,0.900607638888889
"5c85883136f2450001c86ba9","0.1",1,0.669477513227513
"5c85883136f2450001c86ba9","0.35",0,0.877459490740741
"5c85883136f2450001c86ba9","0.35",1,0.645640432098765
"5c94148a8c4d820001d361d9","0.1",0,0.777006172839506
"5c94148a8c4d820001d361d9","0.1",1,0.859722222222222
"5c94148a8c4d820001d361d9","0.35",0,0.782696759259259
"5c94148a8c4d820001d361d9","0.35",1,0.698302469135802
"5caa534a19731a00190bb935","0.1",0,1
"5caa534a19731a00190bb935","0.1",1,1
"5caa534a19731a00190bb935","0.35",0,0.991770186335404
"5caa534a19731a00190bb935","0.35",1,1
"5cbcadbe0b073500018c5f73","0.1",0,0.969675925925926
"5cbcadbe0b073500018c5f73","0.1",1,0.835308641975309
"5cbcadbe0b073500018c5f73","0.35",0,0.920617283950617
"5cbcadbe0b073500018c5f73","0.35",1,0.766481481481482
"5ce15b0ea7b516001828c646","0.1",0,0.682716049382716
"5ce15b0ea7b516001828c646","0.1",1,0.796031746031746
"5ce15b0ea7b516001828c646","0.35",0,0.45042735042735
"5ce15b0ea7b516001828c646","0.35",1,0.641203703703704
"5cee69353057030001b33fc4","0.1",0,0.710416666666667
"5cee69353057030001b33fc4","0.1",1,0.822222222222222
"5cee69353057030001b33fc4","0.35",0,0.420899470899471
"5cee69353057030001b33fc4","0.35",1,0.71025641025641
"5cf1824f1ae74d00015fbd39","0.1",0,0.650440705128205
"5cf1824f1ae74d00015fbd39","0.1",1,0.77490234375
"5cf1824f1ae74d00015fbd39","0.35",0,0.631076388888889
"5cf1824f1ae74d00015fbd39","0.35",1,0.654340277777778
"5d0c90dc3382180015624ad9","0.1",0,0.946240601510654
"5d0c90dc3382180015624ad9","0.1",1,0.952677022231804
"5d0c90dc3382180015624ad9","0.35",0,0.904106419906925
"5d0c90dc3382180015624ad9","0.35",1,0.98622758820472
"5d1a69d8f97a18001977e0d7","0.1",0,0.81005859375
"5d1a69d8f97a18001977e0d7","0.1",1,0.85546875
"5d1a69d8f97a18001977e0d7","0.35",0,0.5578125
"5d1a69d8f97a18001977e0d7","0.35",1,0.766666666666667
"5d3f020cfd9694001a2d1a1c","0.1",0,0.621111111111111
"5d3f020cfd9694001a2d1a1c","0.1",1,0.682777777777778
"5d3f020cfd9694001a2d1a1c","0.35",0,0.630138888888889
"5d3f020cfd9694001a2d1a1c","0.35",1,0.631111111111111
"5d41925ef7b99500012b960e","0.1",0,0.88828125
"5d41925ef7b99500012b960e","0.1",1,0.794166666666667
"5d41925ef7b99500012b960e","0.35",0,0.544661458333333
"5d41925ef7b99500012b960e","0.35",1,0.56375
"5d64426653ba680017d9f63a","0.1",0,0.946428571428571
"5d64426653ba680017d9f63a","0.1",1,0.939409722222222
"5d64426653ba680017d9f63a","0.35",0,0.820920138888889
"5d64426653ba680017d9f63a","0.35",1,0.89469696969697
"5d651053afb8f700198459d4","0.1",0,0.605952380952381
"5d651053afb8f700198459d4","0.1",1,0.820634920634921
