"subj_id","rt","correct","present","easy"
1,2.19780000019073,1,-1,0
1,2.07509999990463,1,-1,1
1,1.47579999995232,1,1,1
1,3.01860000014305,0,1,0
1,1.74709999990463,1,-1,0
1,2.7675,1,-1,1
1,1.95310000014305,1,1,1
1,1.75629999995232,1,1,0
1,1.90939999985695,1,1,1
1,3.29730000019073,0,1,0
1,1.96939999985695,1,-1,0
1,2.21879999995232,1,-1,1
1,2.4385,1,-1,1
1,3.72360000014305,0,1,0
1,1.84429999995232,1,1,1
1,1.78570000004768,1,-1,0
1,2.33859999990463,1,1,0
1,3.10170000004768,1,-1,0
1,1.96289999985695,1,1,1
1,2.31109999990463,1,-1,1
1,2.41980000019073,1,1,1
1,2.47739999985695,1,-1,0
1,2.81259999990463,1,-1,1
1,2.84089999985695,1,1,0
1,2.27759999990463,1,-1,0
1,2.95710000014305,1,-1,1
1,1.66,1,1,1
1,2.83960000014305,1,1,0
1,2.40289999985695,1,-1,1
1,1.94919999980927,1,1,1
1,2.66660000014305,1,-1,0
1,3.12990000009537,0,1,0
1,2.69690000009537,1,-1,0
1,2.24640000009537,1,1,1
1,2.95329999995232,1,-1,1
1,3.13940000009537,0,1,0
1,4.73279999995232,0,1,1
1,6.77529999995232,0,1,0
1,2.9575,1,-1,1
1,3.41109999990463,1,-1,0
1,3.05879999995232,1,1,0
1,1.82220000004768,1,1,1
1,2.97630000019073,1,-1,1
1,4.683,1,-1,0
1,2.0365,1,1,0
1,2.51470000004768,1,-1,1
1,3.01420000004768,1,-1,0
1,1.8795,1,1,1
1,2.24460000014305,1,1,1
1,2.8815,1,-1,1
1,3.51359999990463,1,-1,0
1,5.18910000014305,0,1,0
1,2.8085,1,-1,0
1,3.34479999995232,1,-1,1
1,5.46140000009537,0,1,0
1,3.85529999995232,1,1,1
1,6.29410000014305,1,-1,0
1,4.83740000009537,0,1,1
1,4.3905,0,1,0
1,3.57,1,-1,1
1,4.31690000009537,0,-1,0
1,3.44380000019073,1,-1,1
1,3.1305,1,1,1
1,2.57240000009537,1,1,0
2,3.06509999996424,1,1,1
2,4.9965,1,-1,1
2,4.88679999995232,0,-1,0
2,3.25489999997616,1,1,0
2,4.38239999997616,1,1,1
2,4.70810000002384,1,-1,1
2,5.22639999997616,1,-1,0
2,3.624,1,1,0
2,4.216,1,-1,1
2,3.14689999997616,1,1,1
2,3.36260000002384,1,-1,0
2,2.30480000001192,1,1,0
2,2.75589999997616,1,1,1
2,3.37570000004768,1,-1,1
2,4.03819999998808,1,-1,0
2,6.476,1,1,0
2,4.22960000002384,1,1,1
2,2.86210000002384,1,-1,1
2,3.18129999995232,1,-1,0
2,6.95960000002384,0,1,1
2,2.95980000001192,1,-1,0
2,4.10819999998808,1,-1,1
2,3.61159999996424,1,1,0
2,2.68089999997616,1,-1,0
2,2.27069999998808,1,-1,1
2,3.52760000002384,1,1,0
2,3.00319999998808,0,1,0
2,2.555,1,-1,0
2,3.51930000001192,1,-1,1
2,3.50890000003576,1,-1,0
2,3.59089999997616,1,-1,1
2,2.73169999998808,1,1,1
2,3.891,0,1,0
2,3.12289999997616,1,-1,1
2,3.53030000001192,1,-1,0
2,4.60619999998808,1,1,0
2,3.49909999996424,1,1,1
2,4.039,0,1,1
2,2.89869999998808,1,-1,1
2,3.40770000004768,1,-1,0
2,4.0305,1,1,0
2,3.0525,1,-1,0
2,5.39589999997616,1,1,0
2,5.48780000001192,1,1,1
2,2.27790000003576,1,-1,1
2,6.2315,1,-1,0
2,4.05310000002384,1,-1,1
2,3.09210000002384,1,1,1
2,3.09760000002384,1,1,0
2,2.96110000002384,1,-1,0
2,4.25689999997616,1,-1,1
2,5.24959999996424,1,1,0
2,2.42659999996424,1,1,1
2,2.32230000001192,1,1,1
2,1.993,1,-1,0
2,3.78039999997616,1,-1,1
2,3.44509999996424,1,1,0
2,3.47840000003576,1,-1,0
2,4.05869999998808,1,1,0
2,2.95380000001192,1,-1,1
2,5.50780000001192,0,1,1
3,3.726,1,1,1
3,3.491,1,-1,0
3,4.714,0,1,0
3,3.763,1,-1,1
3,3.296,1,1,1
3,5.989,0,1,0
3,2.777,1,-1,0
3,4.188,1,-1,1
3,4.048,1,1,1
3,3.771,1,-1,0
3,4.471,1,-1,1
3,4.105,1,1,0
3,4.38,1,-1,1
3,2.981,1,-1,0
3,4.7,0,1,0
3,2.721,1,-1,1
3,2.992,1,1,1
3,3.474,1,-1,0
3,4.889,1,1,0
3,2.524,1,1,1
3,6.357,1,-1,0
3,2.441,1,-1,1
3,3.275,1,-1,0
3,2.662,1,1,1
3,3.383,0,1,0
3,2.536,1,-1,1
3,3.8,1,-1,0
3,2.756,1,1,1
3,2.481,1,-1,1
3,3.284,1,1,0
3,2.291,0,-1,0
3,2.195,1,1,1
3,3.768,1,1,0
3,2.546,1,-1,1
3,2.234,0,-1,1
3,2.216,1,1,0
3,2.092,1,1,1
3,2.373,1,-1,0
3,2.702,0,-1,0
3,1.82,1,1,0
3,2.218,1,-1,1
3,1.922,1,1,1
3,5.563,0,-1,0
3,2.566,1,1,1
3,3.789,0,1,0
3,2.486,1,-1,1
3,1.928,1,1,1
3,1.987,1,-1,1
3,2.255,1,1,0
3,3.23,0,-1,0
3,3.306,0,-1,0
3,3.06,1,-1,1
3,2.148,1,1,1
3,2.524,0,1,0
3,3.629,1,-1,0
3,2.621,1,-1,1
3,2.11,1,1,1
3,4.107,1,1,0
3,2.38,1,-1,1
3,3.945,0,1,0
3,1.973,1,1,1
3,4.19,1,-1,0
4,5.3705,0,-1,0
4,1.99189999997616,1,-1,1
4,1.42869999998808,1,1,0
4,1.68609999999404,1,1,1
4,1.68330000001192,1,-1,0
4,2.44859999999404,1,1,0
4,1.878,1,-1,1
4,1.7175,1,-1,1
4,1.67589999997616,1,-1,0
4,1.77610000002384,1,1,1
4,1.66059999999404,1,1,0
4,2.18429999998212,1,-1,0
4,4.83689999997616,1,1,0
4,1.98340000000596,1,-1,1
4,1.9565,1,1,1
4,1.4115,0,-1,1
4,1.978,1,-1,0
4,1.56440000000596,1,1,1
4,1.90309999999404,1,1,0
4,1.58629999998212,1,1,0
4,2.85759999999404,1,-1,0
4,1.78679999998212,0,1,1
4,1.59059999999404,1,-1,1
4,1.50570000001788,1,1,1
4,1.88589999997616,1,-1,1
4,2.51559999999404,1,1,0
4,2.871,0,-1,0
4,1.12309999999404,0,1,0
4,1.31640000000596,0,-1,0
4,1.60080000001192,0,-1,1
4,1.5285,1,1,1
4,1.73480000001192,1,-1,1
4,1.8195,1,1,0
4,1.43930000001192,0,-1,0
4,2.536,1,1,1
4,2.85759999999404,0,1,0
4,1.69020000001788,0,-1,0
4,1.56779999998212,1,1,1
4,1.42180000001192,1,-1,1
4,1.56509999996424,0,-1,1
4,1.40269999998808,1,-1,0
4,4.236,1,1,1
4,5.52619999998808,1,1,0
4,1.52480000001192,0,-1,0
4,1.69919999998808,1,-1,1
4,2.02969999998808,1,1,1
4,1.69969999998808,1,1,0
4,1.919,0,-1,1
4,1.54030000001192,1,1,1
4,1.66329999995232,1,1,0
4,1.56560000002384,0,-1,0
4,4.12030000001192,0,-1,0
4,1.52319999998808,1,1,1
4,1.64289999997616,0,-1,1
4,1.71759999996424,1,1,0
4,1.63870000004768,1,1,1
4,1.5275,0,-1,1
4,1.58030000001192,0,-1,0
4,1.44620000004768,1,1,0
