"subj_id","rt","confidence","correct","present","easy"
208,2.78980000001192,0.838888888888889,1,1,1
208,4.62280000001192,0.625,1,-1,0
208,1.6755,0.805555555555556,1,1,0
208,2.662,0.883333333333333,1,-1,1
208,1.668,0.955555555555556,1,1,0
208,2.18189999997616,0.915277777777778,1,-1,0
208,1.77739999997616,1,1,-1,1
208,1.6755,1,1,1,1
208,1.61760000002384,0.905555555555556,1,1,1
208,1.68089999997616,0.922222222222222,1,-1,1
208,1.65929999995232,0.9875,1,1,0
208,2.77739999997616,0.891666666666667,1,-1,0
208,1.64769999998808,0.891666666666667,1,1,0
208,1.97419999998808,0.916666666666667,1,-1,0
208,2.64459999996424,0.7375,1,-1,1
208,1.63230000001192,0.869444444444444,1,1,1
208,2.72529999995232,0.809722222222222,1,-1,0
208,2.71160000002384,0.843055555555556,1,-1,1
208,1.60669999998808,0.913888888888889,1,1,1
208,1.60840000003576,0.752777777777778,1,1,0
208,1.64789999997616,0.908333333333333,1,-1,0
208,1.85909999996424,0.776388888888889,1,1,0
208,2.88819999998808,0.911111111111111,1,-1,1
208,1.60010000002384,0.952777777777778,1,1,1
208,1.79239999997616,0.844444444444444,1,-1,0
208,1.66090000003576,0.765277777777778,1,1,0
208,5.3405,0.791666666666667,0,1,1
208,2.234,0.897222222222222,1,-1,1
208,1.58839999997616,0.922222222222222,1,-1,0
208,1.9165,0.931944444444444,1,1,1
208,5.89269999998808,0.565277777777778,1,1,0
208,2.17059999996424,0.873611111111111,1,-1,1
208,2.45989999997616,0.816666666666667,1,1,0
208,1.8215,0.956944444444444,1,1,1
208,1.54219999998808,1,1,-1,1
208,1.63509999996424,0.95,1,-1,0
208,2.39410000002384,0.601388888888889,1,1,0
208,2.07139999997616,0.780555555555556,1,-1,1
208,2.808,0.85,1,-1,0
208,2.00119999998808,0.963888888888889,1,1,1
208,2.35890000003576,0.758333333333333,1,-1,1
208,1.70439999997616,0.893055555555556,1,1,1
208,1.72040000003576,0.901388888888889,1,-1,0
208,2.21480000001192,0.930555555555556,1,-1,1
208,2.02030000001192,0.7375,1,1,1
208,2.15120000004768,0.744444444444444,1,1,0
208,1.68520000004768,0.834722222222222,1,-1,0
208,4.37889999997616,0.606944444444445,1,-1,1
208,1.699,0.734722222222222,1,1,0
208,1.5845,0.819444444444444,1,-1,0
208,1.78710000002384,0.908333333333333,1,1,1
208,1.77269999998808,0.880555555555556,1,-1,0
208,5.60760000002384,0.5375,1,1,1
