"subj_id","rt","correct","present","easy"
1,1.91609999990463,1,1,0
1,2.46560000014305,1,-1,0
1,2.28479999995232,1,-1,1
1,2.31760000014305,1,1,1
1,2.12540000009537,1,1,0
1,3.41970000004768,0,-1,0
1,4.08879999995232,1,1,1
1,1.95259999990463,1,-1,1
1,1.77879999995232,1,1,0
1,1.96479999995232,1,-1,1
1,2.90790000009537,1,-1,0
1,2.07470000004768,1,1,1
1,1.80820000004768,1,1,0
1,2.84390000009537,1,-1,1
1,2.57389999985695,0,-1,0
1,2.65520000004768,1,1,1
1,4.87040000009537,1,-1,0
1,2.11590000009537,1,1,1
1,2.013,1,1,0
1,1.87989999985695,1,-1,1
1,2.47209999990463,1,-1,0
1,2.683,1,-1,1
1,2.03189999985695,1,1,0
1,2.2425,1,1,1
1,3.08929999995232,1,-1,1
1,2.42659999990463,1,1,1
1,1.90479999995232,1,1,0
1,2.679,1,-1,0
1,2.72209999990463,1,-1,0
1,2.09620000004768,1,1,0
1,2.553,1,-1,1
1,2.641,0,1,1
1,2.99829999995232,1,1,1
1,1.76409999990463,1,1,0
1,2.65220000004768,1,-1,1
1,1.96490000009537,1,-1,0
1,1.97069999980927,1,-1,1
1,2.612,1,-1,0
1,2.23969999980927,1,1,1
1,2.03229999995232,1,1,0
1,2.71879999995232,1,1,1
1,2.77640000009537,1,-1,0
1,2.66640000009537,1,-1,1
1,2.32940000009537,1,1,0
1,1.87690000009537,1,1,1
1,2.88210000014305,1,-1,0
1,2.31129999995232,1,1,0
1,2.85980000019073,1,-1,1
1,3.91029999995232,0,1,1
1,3.1395,1,-1,1
1,1.95820000004768,1,1,0
1,3.17520000004768,1,-1,0
1,2.15209999990463,1,-1,0
1,2.10240000009537,1,1,1
1,1.9475,1,1,0
1,5.58979999995232,1,-1,1
1,3.0725,1,1,1
1,2.39390000009537,1,1,0
1,2.00979999995232,1,-1,0
1,2.19289999985695,1,-1,1
1,1.77090000009537,1,1,0
1,1.87330000019073,1,-1,0
1,3.16279999995232,1,1,1
1,2.25129999995232,1,-1,1
2,3.08439999997616,1,-1,1
2,3.05269999998808,1,1,0
2,3.253,1,-1,0
2,2.57739999997616,1,1,1
2,3.11780000001192,1,1,0
2,3.38880000001192,1,1,1
2,3.78819999998808,1,-1,0
2,4.03530000001192,1,-1,1
2,4.50780000001192,1,-1,1
2,3.30880000001192,1,1,1
2,4.42759999996424,1,-1,0
2,3.00360000002384,1,1,0
2,4.36760000002384,1,-1,1
2,3.03839999997616,1,1,0
2,4.541,1,1,1
2,3.56870000004768,1,-1,0
2,5.001,1,-1,1
2,3.78410000002384,1,-1,0
2,3.11560000002384,1,1,0
2,3.34030000001192,1,1,1
2,2.98730000001192,1,1,0
2,3.4805,1,1,1
2,4.12929999995232,1,-1,1
2,3.49130000001192,1,-1,0
2,3.0865,1,1,0
2,4.087,1,1,1
2,4.31039999997616,1,-1,1
2,3.57019999998808,1,-1,0
2,3.74579999995232,1,1,1
2,4.985,1,-1,1
2,3.226,1,1,0
2,3.88260000002384,1,-1,0
2,3.1865,1,-1,1
2,5.82090000003576,0,1,0
2,4.86130000001192,1,1,1
2,3.23260000002384,1,-1,0
2,6.49440000003576,1,1,1
2,3.12939999997616,1,-1,0
2,3.54869999998808,1,-1,1
2,3.07079999995232,1,1,0
2,2.9765,1,1,1
2,3.29519999998808,1,-1,1
2,3.98579999995232,1,-1,0
2,4.17809999996424,1,-1,1
